rt,trial_type,trial_index,time_elapsed,responses,name,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,is_fullscreen,trial_began,os,browser,mobile,screen_size,block,sub_block
null,image-cpt,162,487480,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,163,489689,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,164,492417,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,165,495643,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,166,497366,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,167,500598,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,168,502812,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,169,506042,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,170,509250,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,171,511956,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,172,513663,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,173,516385,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,174,518122,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,175,520846,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,176,523057,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,177,524785,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,178,527509,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,179,530722,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,180,533950,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,181,537181,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,182,539910,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,183,543120,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,184,545841,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,185,547572,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,186,550788,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,187,553023,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,188,555245,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,189,557462,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,190,559169,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,191,560902,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,192,563123,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,193,565843,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,194,567561,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,195,570298,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,196,573525,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,197,575760,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,198,578481,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,199,581691,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,200,584408,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,201,586645,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,202,589857,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,203,592081,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,204,594286,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,205,597507,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,206,600219,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,207,601942,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,208,603659,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,209,606883,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,210,609610,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,211,612820,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,212,616050,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,213,619278,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,214,620995,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,215,623726,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,216,625454,,,null,TRUE,,,,,,,,,,,,
